id	GeneID	Description	Aliases	Mechanism	Isoform1	Isoform2	Time1	Time2
87	AT1G50200	Alanyl-tRNA synthetase;(source:Araport11)	ACD,ALATS	IR	AT1G50200_P1	AT1G50200_ID2	WT_3h	WT_0h
171	AT1G80380	encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.	GLYK	A5	AT1G80380_P3	AT1G80380_P2	WT_3h	WT_0h
214	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	A3	AT2G31955_ID43	AT2G31955.2	WT_3h	WT_0h
215	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	A3	AT2G31955_ID48	AT2G31955.2	WT_3h	WT_0h
216	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	A5	AT2G31955_ID48	AT2G31955.2	WT_3h	WT_0h
217	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	IR	AT2G31955_ID48	AT2G31955.2	WT_3h	WT_0h
218	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	IR	AT2G31955_ID43	AT2G31955.2	WT_3h	WT_0h
219	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	A5	AT2G31955_ID43	AT2G31955_ID47	WT_3h	WT_0h
220	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	IR	AT2G31955_ID48	AT2G31955_ID47	WT_3h	WT_0h
221	AT2G31955	COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli moaA. Expression is abundant in all tissues examined, particularly in roots. Appears to have targeting signals for chloroplast or mitochondria.	CNX2	IR	AT2G31955_ID43	AT2G31955_ID47	WT_3h	WT_0h
